region,type,SingleAVGPrice
Albany,conventional,1.49261538461538
Albany,organic,1.70846153846154
Albany,None,1.60053846153846
Atlanta,conventional,1.15876923076923
Atlanta,organic,1.64707692307692
Atlanta,None,1.40292307692308
BaltimoreWashington,conventional,1.47523076923077
BaltimoreWashington,organic,1.77246153846154
BaltimoreWashington,None,1.62384615384615
Boise,conventional,1.25184615384615
Boise,organic,1.73338461538462
Boise,None,1.49261538461538
Boston,conventional,1.46569230769231
Boston,organic,1.85538461538462
Boston,None,1.66053846153846
BuffaloRochester,conventional,1.40707692307692
BuffaloRochester,organic,1.63492307692308
BuffaloRochester,None,1.521
California,conventional,1.22092307692308
California,organic,1.80153846153846
California,None,1.51123076923077
Charlotte,conventional,1.39169230769231
Charlotte,organic,2.04184615384615
Charlotte,None,1.71676923076923
Chicago,conventional,1.57246153846154
Chicago,organic,1.80061538461538
Chicago,None,1.68653846153846
CincinnatiDayton,conventional,1.09953846153846
CincinnatiDayton,organic,1.52323076923077
CincinnatiDayton,None,1.31138461538462
Columbus,conventional,1.12646153846154
Columbus,organic,1.45169230769231
Columbus,None,1.28907692307692
DallasFtWorth,conventional,0.913384615384615
DallasFtWorth,organic,1.41323076923077
DallasFtWorth,None,1.16330769230769
Denver,conventional,1.18646153846154
Denver,organic,1.50061538461538
Denver,None,1.34353846153846
Detroit,conventional,1.21092307692308
Detroit,organic,1.40769230769231
Detroit,None,1.30930769230769
GrandRapids,conventional,1.54030769230769
GrandRapids,organic,1.60461538461538
GrandRapids,None,1.57246153846154
GreatLakes,conventional,1.29723076923077
GreatLakes,organic,1.498
GreatLakes,None,1.39761538461538
HarrisburgScranton,conventional,1.37030769230769
HarrisburgScranton,organic,1.72553846153846
HarrisburgScranton,None,1.54792307692308
HartfordSpringfield,conventional,1.53938461538462
HartfordSpringfield,organic,2.15938461538462
HartfordSpringfield,None,1.84938461538462
Houston,conventional,0.846615384615385
Houston,organic,1.33861538461538
Houston,None,1.09261538461538
Indianapolis,conventional,1.19846153846154
Indianapolis,organic,1.40307692307692
Indianapolis,None,1.30076923076923
Jacksonville,conventional,1.35876923076923
Jacksonville,organic,1.90492307692308
Jacksonville,None,1.63184615384615
LasVegas,conventional,1.09461538461538
LasVegas,organic,1.73215384615385
LasVegas,None,1.41338461538462
LosAngeles,conventional,1.10984615384615
LosAngeles,organic,1.63538461538462
LosAngeles,None,1.37261538461538
Louisville,conventional,1.19384615384615
Louisville,organic,1.48738461538462
Louisville,None,1.34061538461538
MiamiFtLauderdale,conventional,1.42261538461538
MiamiFtLauderdale,organic,1.74415384615385
MiamiFtLauderdale,None,1.58338461538462
Midsouth,conventional,1.29415384615385
Midsouth,organic,1.68707692307692
Midsouth,None,1.49061538461538
Nashville,conventional,1.03784615384615
Nashville,organic,1.43569230769231
Nashville,None,1.23676923076923
NewOrleansMobile,conventional,1.21476923076923
NewOrleansMobile,organic,1.544
NewOrleansMobile,None,1.37938461538462
NewYork,conventional,1.53276923076923
NewYork,organic,2.00015384615385
NewYork,None,1.76646153846154
Northeast,conventional,1.46815384615385
Northeast,organic,1.83876923076923
Northeast,None,1.65346153846154
NorthernNewEngland,conventional,1.40492307692308
NorthernNewEngland,organic,1.69184615384615
NorthernNewEngland,None,1.54838461538462
Orlando,conventional,1.364
Orlando,organic,1.87615384615385
Orlando,None,1.62007692307692
Philadelphia,conventional,1.50123076923077
Philadelphia,organic,1.81784615384615
Philadelphia,None,1.65953846153846
PhoenixTucson,conventional,0.786153846153846
PhoenixTucson,organic,1.71553846153846
PhoenixTucson,None,1.25084615384615
Pittsburgh,conventional,1.25092307692308
Pittsburgh,organic,1.44261538461538
Pittsburgh,None,1.34676923076923
Plains,conventional,1.26630769230769
Plains,organic,1.69892307692308
Plains,None,1.48261538461538
Portland,conventional,1.14446153846154
Portland,organic,1.71015384615385
Portland,None,1.42730769230769
RaleighGreensboro,conventional,1.31938461538462
RaleighGreensboro,organic,2.13169230769231
RaleighGreensboro,None,1.72553846153846
RichmondNorfolk,conventional,1.21307692307692
RichmondNorfolk,organic,1.52476923076923
RichmondNorfolk,None,1.36892307692308
Roanoke,conventional,1.16538461538462
Roanoke,organic,1.52446153846154
Roanoke,None,1.34492307692308
Sacramento,conventional,1.38153846153846
Sacramento,organic,2.05507692307692
Sacramento,None,1.71830769230769
SanDiego,conventional,1.19953846153846
SanDiego,organic,1.93015384615385
SanDiego,None,1.56484615384615
SanFrancisco,conventional,1.46630769230769
SanFrancisco,organic,2.31184615384615
SanFrancisco,None,1.88907692307692
Seattle,conventional,1.31215384615385
Seattle,organic,1.83323076923077
Seattle,None,1.57269230769231
SouthCarolina,conventional,1.25969230769231
SouthCarolina,organic,1.62184615384615
SouthCarolina,None,1.44076923076923
SouthCentral,conventional,0.924153846153846
SouthCentral,organic,1.38
SouthCentral,None,1.15207692307692
Southeast,conventional,1.29953846153846
Southeast,organic,1.64753846153846
Southeast,None,1.47353846153846
Spokane,conventional,1.20323076923077
Spokane,organic,1.93953846153846
Spokane,None,1.57138461538462
StLouis,conventional,1.32538461538462
StLouis,organic,1.81169230769231
StLouis,None,1.56853846153846
Syracuse,conventional,1.43923076923077
Syracuse,organic,1.61446153846154
Syracuse,None,1.52684615384615
Tampa,conventional,1.37615384615385
Tampa,organic,1.756
Tampa,None,1.56607692307692
TotalUS,conventional,1.19184615384615
TotalUS,organic,1.63353846153846
TotalUS,None,1.41269230769231
West,conventional,1.07661538461538
West,organic,1.66907692307692
West,None,1.37284615384615
WestTexNewMexico,conventional,0.895076923076923
WestTexNewMexico,organic,1.66873015873016
WestTexNewMexico,None,1.275859375
